time,open,high,low,close,Volume
1672531200,16543,16545,16513.5,16533.5,4098.848
1672534800,16533.5,16558,16532,16555,3873.129
1672538400,16555,16563,16543,16547.5,3861.416
1672542000,16547.5,16548,16523.5,16536,3482.807
1672545600,16536,16537,16516,16523,3079.327
1672549200,16523,16535,16516,16533,2763.431
1672552800,16533,16550,16531.5,16543.5,3718.598
1672556400,16543.5,16545.5,16502,16529,4788.782
1672560000,16529,16532,16510,16513.5,3027.322
1672563600,16513.5,16542,16508,16540.5,3614.341
1672567200,16540.5,16544,16534,16542.5,3328.726
1672570800,16542.5,16553,16539,16551.5,3817.335
1672574400,16551.5,16570,16548.5,16559.5,4764.957
1672578000,16559.5,16562,16536.5,16541.5,3735
1672581600,16541.5,16549,16538,16539,2900.135
1672585200,16539,16555.5,16531,16554,4539.942
1672588800,16554,16580,16554,16561,4899.557
1672592400,16561,16591.5,16561,16573.5,5532.785
1672596000,16573.5,16596.5,16573.5,16586,4113.207
1672599600,16586,16617,16585.5,16596,5071.75
1672603200,16596,16618.5,16595.5,16597,3167.589
1672606800,16597,16599,16588,16597.5,2991.301
1672610400,16597.5,16603.5,16580,16593.5,2985.139
1672614000,16593.5,16614.5,16593,16607.5,2695.977
1672617600,16607.5,16617.5,16575.5,16580.5,3474.278
1672621200,16580.5,16580.5,16543,16562,6271.387
1672624800,16562,16586.5,16552.5,16581.5,4033.191
1672628400,16581.5,16700,16577.5,16654.5,11371.708
1672632000,16654.5,16665.5,16623,16631.5,8608.845
1672635600,16631.5,16651,16615,16638.5,6039.615
1672639200,16638.5,16652.5,16628,16632.5,3483.137
1672642800,16632.5,16760,16632,16709.5,18559.916
1672646400,16709.5,16761.5,16700,16722.5,15921.791
1672650000,16722.5,16733.5,16706,16708.5,4976.992
1672653600,16708.5,16751,16701.5,16718.5,3412.311
1672657200,16718.5,16730,16696.5,16725.5,3685.618
1672660800,16725.5,16731.5,16713,16713.5,3780.203
1672664400,16713.5,16714.5,16677.5,16691,7686.999
1672668000,16691,16701,16663,16692.5,6348.499
1672671600,16692.5,16743,16686.5,16725.5,6975.62
1672675200,16725.5,16728.5,16701,16701,3296.884
1672678800,16701,16714,16699,16705,2735.688
1672682400,16705,16724.5,16701,16715,2556.033
