トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
1,ショート決済,2023-01-04 07:00,Close entry(s) order ShortEnt,16667,1,16721,33.97,0.20,111.47,0.67,-79.03,-0.47,33.97,0.00
1,ショートエントリー,2023-01-03 05:00,ShortEnt,16721,1,16721,33.97,0.20,111.47,0.67,-79.03,-0.47,33.97,0.00
2,ロング決済,2023-01-05 07:00,Close entry(s) order LongEnt,16827.5,1,16829,-21.69,-0.13,150.9,0.90,-70.1,-0.42,12.27,0.00
2,ロングエントリー,2023-01-04 23:00,LongEnt,16829,1,16829,-21.69,-0.13,150.9,0.90,-70.1,-0.42,12.27,0.00
3,ロング決済,2023-01-06 20:00,Close entry(s) order LongEnt,16735.5,1,16792.5,-77.12,-0.46,0,0.00,-101.58,-0.60,-64.84,-0.01
3,ロングエントリー,2023-01-06 17:00,LongEnt,16792.5,1,16792.5,-77.12,-0.46,0,0.00,-101.58,-0.60,-64.84,-0.01
4,ロング決済,2023-01-07 23:00,Close entry(s) order LongEnt,16937,1,16945.5,-28.83,-0.17,0,0.00,-46.67,-0.28,-93.67,-0.01
4,ロングエントリー,2023-01-07 16:00,LongEnt,16945.5,1,16945.5,-28.83,-0.17,0,0.00,-46.67,-0.28,-93.67,-0.01
5,ショート決済,2023-01-09 05:00,Close entry(s) order ShortEnt,16967.5,1,16937.5,-50.34,-0.30,13.34,0.08,-91.16,-0.54,-144.02,-0.01
5,ショートエントリー,2023-01-08 06:00,ShortEnt,16937.5,1,16937.5,-50.34,-0.30,13.34,0.08,-91.16,-0.54,-144.02,-0.01
6,ショート決済,2023-01-11 03:00,Close entry(s) order ShortEnt,17429,1,17202,-247.78,-1.44,2.18,0.01,-247.82,-1.44,-391.79,-0.04
6,ショートエントリー,2023-01-10 15:00,ShortEnt,17202,1,17202,-247.78,-1.44,2.18,0.01,-247.82,-1.44,-391.79,-0.04
7,ロング決済,2023-01-13 02:00,Close entry(s) order LongEnt,18841.5,1,18083.5,735.85,4.07,800.65,4.42,-40.85,-0.23,344.05,0.03
7,ロングエントリー,2023-01-13 00:00,LongEnt,18083.5,1,18083.5,735.85,4.07,800.65,4.42,-40.85,-0.23,344.05,0.03
8,ショート決済,2023-01-14 05:00,Close entry(s) order ShortEnt,19469,1,18827,-664.98,-3.53,98.7,0.52,-674.3,-3.58,-320.93,-0.03
8,ショートエントリー,2023-01-13 06:00,ShortEnt,18827,1,18827,-664.98,-3.53,98.7,0.52,-674.3,-3.58,-320.93,-0.03
9,ショート決済,2023-01-15 23:00,Close entry(s) order ShortEnt,20807,1,20838.5,6.51,0.03,246,1.18,-260,-1.25,-314.41,-0.03
9,ショートエントリー,2023-01-14 23:00,ShortEnt,20838.5,1,20838.5,6.51,0.03,246,1.18,-260,-1.25,-314.41,-0.03
10,ロング決済,2023-01-16 20:00,Close entry(s) order LongEnt,20825.5,1,20839.5,-39,-0.19,64,0.31,-61,-0.29,-353.41,-0.04
10,ロングエントリー,2023-01-16 18:00,LongEnt,20839.5,1,20839.5,-39,-0.19,64,0.31,-61,-0.29,-353.41,-0.04
11,ロング決済,2023-01-20 20:00,Close entry(s) order LongEnt,20964.5,1,20958,-18.65,-0.09,22.93,0.11,-67.07,-0.32,-372.07,-0.04
11,ロングエントリー,2023-01-20 16:00,LongEnt,20958,1,20958,-18.65,-0.09,22.93,0.11,-67.07,-0.32,-372.07,-0.04
12,ショート決済,2023-01-21 02:00,Close entry(s) order ShortEnt,21355.5,1,21144.5,-236.5,-1.12,0,0.00,-283.69,-1.34,-608.57,-0.06
12,ショートエントリー,2023-01-21 00:00,ShortEnt,21144.5,1,21144.5,-236.5,-1.12,0,0.00,-283.69,-1.34,-608.57,-0.06
13,ショート決済,2023-01-23 07:00,Close entry(s) order ShortEnt,22672,1,23099,399.54,1.73,805.14,3.48,-140.36,-0.61,-209.03,-0.02
13,ショートエントリー,2023-01-22 05:00,ShortEnt,23099,1,23099,399.54,1.73,805.14,3.48,-140.36,-0.61,-209.03,-0.02
14,ショート決済,2023-01-25 18:00,Close entry(s) order ShortEnt,22596.5,1,22892.5,268.71,1.17,550.76,2.40,-34.24,-0.15,59.68,0.01
14,ショートエントリー,2023-01-25 06:00,ShortEnt,22892.5,1,22892.5,268.71,1.17,550.76,2.40,-34.24,-0.15,59.68,0.01
15,ロング決済,2023-01-26 18:00,Close entry(s) order LongEnt,22967.5,1,22572.5,367.68,1.63,1241.96,5.50,-76.04,-0.34,427.35,0.04
15,ロングエントリー,2023-01-26 00:00,LongEnt,22572.5,1,22572.5,367.68,1.63,1241.96,5.50,-76.04,-0.34,427.35,0.04
16,ショート決済,2023-01-27 15:00,Close entry(s) order ShortEnt,22992.5,1,23034,13.88,0.06,501.68,2.18,-147.32,-0.64,441.24,0.04
16,ショートエントリー,2023-01-26 23:00,ShortEnt,23034,1,23034,13.88,0.06,501.68,2.18,-147.32,-0.64,441.24,0.04
17,ショート決済,2023-01-29 10:00,Close entry(s) order ShortEnt,23236,1,22987.5,-276.23,-1.20,39.71,0.17,-530.29,-2.31,165,0.02
17,ショートエントリー,2023-01-29 03:00,ShortEnt,22987.5,1,22987.5,-276.23,-1.20,39.71,0.17,-530.29,-2.31,165,0.02
18,ショート決済,2023-02-02 08:00,Close entry(s) order ShortEnt,23723,1,22974,-777.02,-3.38,209.72,0.91,-870.78,-3.79,-612.02,-0.06
18,ショートエントリー,2023-02-02 00:00,ShortEnt,22974,1,22974,-777.02,-3.38,209.72,0.91,-870.78,-3.79,-612.02,-0.06
19,ロング決済,2023-02-02 19:00,Close entry(s) order LongEnt,23776.5,1,23796.5,-48.54,-0.20,21.72,0.09,-63.78,-0.27,-660.56,-0.07
19,ロングエントリー,2023-02-02 17:00,LongEnt,23796.5,1,23796.5,-48.54,-0.20,21.72,0.09,-63.78,-0.27,-660.56,-0.07
20,ショート決済,2023-02-04 02:00,Close entry(s) order ShortEnt,23499,1,23799,271.62,1.14,561.72,2.36,-136.28,-0.57,-388.94,-0.04
20,ショートエントリー,2023-02-03 04:00,ShortEnt,23799,1,23799,271.62,1.14,561.72,2.36,-136.28,-0.57,-388.94,-0.04
21,ロング決済,2023-02-05 10:00,Close entry(s) order LongEnt,23311,1,23334,-50.99,-0.22,234,1.00,-125,-0.54,-439.92,-0.04
21,ロングエントリー,2023-02-04 05:00,LongEnt,23334,1,23334,-50.99,-0.22,234,1.00,-125,-0.54,-439.92,-0.04
22,ショート決済,2023-02-06 08:00,Close entry(s) order ShortEnt,22929,1,23355.5,398.73,1.71,591.99,2.53,-61.01,-0.26,-41.2,0.00
22,ショートエントリー,2023-02-05 18:00,ShortEnt,23355.5,1,23355.5,398.73,1.71,591.99,2.53,-61.01,-0.26,-41.2,0.00
23,ショート決済,2023-02-08 05:00,Close entry(s) order ShortEnt,23190,1,22926,-291.67,-1.27,0,0.00,-335.26,-1.46,-332.87,-0.03
23,ショートエントリー,2023-02-08 03:00,ShortEnt,22926,1,22926,-291.67,-1.27,0,0.00,-335.26,-1.46,-332.87,-0.03
24,ショート決済,2023-02-09 17:00,Close entry(s) order ShortEnt,22709,1,22938,201.61,0.88,570.74,2.49,-21.76,-0.09,-131.25,-0.01
24,ショートエントリー,2023-02-09 10:00,ShortEnt,22938,1,22938,201.61,0.88,570.74,2.49,-21.76,-0.09,-131.25,-0.01
25,ロング決済,2023-02-10 05:00,Close entry(s) order LongEnt,21987,1,22530,-569.71,-2.53,54.48,0.24,-711.52,-3.16,-700.96,-0.07
25,ロングエントリー,2023-02-10 02:00,LongEnt,22530,1,22530,-569.71,-2.53,54.48,0.24,-711.52,-3.16,-700.96,-0.07
26,ショート決済,2023-02-10 22:00,Close entry(s) order ShortEnt,21763.5,1,21810,20.36,0.09,123.41,0.57,-46.59,-0.21,-680.61,-0.07
26,ショートエントリー,2023-02-10 18:00,ShortEnt,21810,1,21810,20.36,0.09,123.41,0.57,-46.59,-0.21,-680.61,-0.07
27,ロング決済,2023-02-12 04:00,Close entry(s) order LongEnt,21655,1,21560.5,68.57,0.32,192.06,0.89,-32.44,-0.15,-612.04,-0.06
27,ロングエントリー,2023-02-11 07:00,LongEnt,21560.5,1,21560.5,68.57,0.32,192.06,0.89,-32.44,-0.15,-612.04,-0.06
28,ショート決済,2023-02-13 01:00,Close entry(s) order ShortEnt,21989,1,21812.5,-202.78,-0.93,48.41,0.22,-273.09,-1.25,-814.82,-0.08
28,ショートエントリー,2023-02-12 07:00,ShortEnt,21812.5,1,21812.5,-202.78,-0.93,48.41,0.22,-273.09,-1.25,-814.82,-0.08
29,ショート決済,2023-02-14 06:00,Close entry(s) order ShortEnt,21608,1,21714,80.01,0.37,360.97,1.66,-44.03,-0.20,-734.81,-0.07
29,ショートエントリー,2023-02-13 17:00,ShortEnt,21714,1,21714,80.01,0.37,360.97,1.66,-44.03,-0.20,-734.81,-0.07
30,ロング決済,2023-02-15 09:00,Close entry(s) order LongEnt,22133.5,1,21805.5,301.64,1.38,481.42,2.21,-289.58,-1.33,-433.17,-0.04
30,ロングエントリー,2023-02-14 18:00,LongEnt,21805.5,1,21805.5,301.64,1.38,481.42,2.21,-289.58,-1.33,-433.17,-0.04
31,ショート決済,2023-02-16 00:00,Close entry(s) order ShortEnt,22810.5,1,22695,-142.8,-0.63,61.38,0.27,-202.62,-0.89,-575.98,-0.06
31,ショートエントリー,2023-02-15 22:00,ShortEnt,22695,1,22695,-142.8,-0.63,61.38,0.27,-202.62,-0.89,-575.98,-0.06
32,ショート決済,2023-02-17 23:00,Close entry(s) order ShortEnt,23856.5,1,24895.5,1009.75,4.05,1529.56,6.14,-149.44,-0.60,433.77,0.04
32,ショートエントリー,2023-02-17 01:00,ShortEnt,24895.5,1,24895.5,1009.75,4.05,1529.56,6.14,-149.44,-0.60,433.77,0.04
33,ロング決済,2023-02-18 23:00,Close entry(s) order LongEnt,24691.5,1,24517,144.97,0.59,201.29,0.82,-46.21,-0.19,578.75,0.06
33,ロングエントリー,2023-02-18 20:00,LongEnt,24517,1,24517,144.97,0.59,201.29,0.82,-46.21,-0.19,578.75,0.06
34,ショート決済,2023-02-19 14:00,Close entry(s) order ShortEnt,24758.5,1,24661.5,-126.65,-0.51,134.2,0.54,-231.8,-0.94,452.09,0.05
34,ショートエントリー,2023-02-19 00:00,ShortEnt,24661.5,1,24661.5,-126.65,-0.51,134.2,0.54,-231.8,-0.94,452.09,0.05
35,ロング決済,2023-02-20 06:00,Close entry(s) order LongEnt,24531.5,1,24456.5,45.61,0.19,95.33,0.39,-221.17,-0.90,497.7,0.05
35,ロングエントリー,2023-02-20 03:00,LongEnt,24456.5,1,24456.5,45.61,0.19,95.33,0.39,-221.17,-0.90,497.7,0.05
36,ロング決済,2023-02-21 17:00,Close entry(s) order LongEnt,24684.5,1,24840.5,-185.71,-0.75,428.1,1.72,-235.4,-0.95,311.99,0.03
36,ロングエントリー,2023-02-21 08:00,LongEnt,24840.5,1,24840.5,-185.71,-0.75,428.1,1.72,-235.4,-0.95,311.99,0.03
37,ロング決済,2023-02-24 03:00,Close entry(s) order LongEnt,23849.5,1,23736,84.95,0.36,835.26,3.52,-154.24,-0.65,396.93,0.04
37,ロングエントリー,2023-02-23 02:00,LongEnt,23736,1,23736,84.95,0.36,835.26,3.52,-154.24,-0.65,396.93,0.04
38,ロング決済,2023-02-27 03:00,Close entry(s) order LongEnt,23472.5,1,22975.5,469.13,2.04,538.21,2.34,-277.29,-1.21,866.07,0.09
38,ロングエントリー,2023-02-25 20:00,LongEnt,22975.5,1,22975.5,469.13,2.04,538.21,2.34,-277.29,-1.21,866.07,0.09
39,ショート決済,2023-02-28 12:00,Close entry(s) order ShortEnt,23444.5,1,23543,70.31,0.30,430.87,1.83,-70.13,-0.30,936.37,0.09
39,ショートエントリー,2023-02-28 00:00,ShortEnt,23543,1,23543,70.31,0.30,430.87,1.83,-70.13,-0.30,936.37,0.09
40,ロング決済,2023-03-01 08:00,Close entry(s) order LongEnt,23119,1,23260,-168.83,-0.73,0,0.00,-260.96,-1.12,767.55,0.08
40,ロングエントリー,2023-03-01 05:00,LongEnt,23260,1,23260,-168.83,-0.73,0,0.00,-260.96,-1.12,767.55,0.08
41,ロング決済,2023-03-02 09:00,Close entry(s) order LongEnt,23605.5,1,23680,-102.87,-0.43,101.79,0.43,-389.21,-1.64,664.67,0.07
41,ロングエントリー,2023-03-01 23:00,LongEnt,23680,1,23680,-102.87,-0.43,101.79,0.43,-389.21,-1.64,664.67,0.07
42,ロング決済,2023-03-04 01:00,Close entry(s) order LongEnt,22364,1,22341,-3.82,-0.02,133.1,0.60,-203.9,-0.91,660.85,0.07
42,ロングエントリー,2023-03-03 11:00,LongEnt,22341,1,22341,-3.82,-0.02,133.1,0.60,-203.9,-0.91,660.85,0.07
43,ロング決済,2023-03-05 05:00,Close entry(s) order LongEnt,22237.5,1,22315,-104.23,-0.47,0,0.00,-155.39,-0.70,556.62,0.06
43,ロングエントリー,2023-03-05 01:00,LongEnt,22315,1,22315,-104.23,-0.47,0,0.00,-155.39,-0.70,556.62,0.06
44,ショート決済,2023-03-06 00:00,Close entry(s) order ShortEnt,22422,1,22344.5,-104.36,-0.47,27.09,0.12,-144.91,-0.65,452.26,0.05
44,ショートエントリー,2023-03-05 11:00,ShortEnt,22344.5,1,22344.5,-104.36,-0.47,27.09,0.12,-144.91,-0.65,452.26,0.05
45,ロング決済,2023-03-11 19:00,Close entry(s) order LongEnt,20024,1,19975,25,0.13,678.02,3.39,-444.98,-2.23,477.26,0.05
45,ロングエントリー,2023-03-10 14:00,LongEnt,19975,1,19975,25,0.13,678.02,3.39,-444.98,-2.23,477.26,0.05
46,ショート決済,2023-03-12 12:00,Close entry(s) order ShortEnt,20378,1,20334,-68.43,-0.34,7.8,0.04,-208.2,-1.02,408.83,0.04
46,ショートエントリー,2023-03-12 07:00,ShortEnt,20334,1,20334,-68.43,-0.34,7.8,0.04,-208.2,-1.02,408.83,0.04
47,ロング決済,2023-03-13 01:00,Close entry(s) order LongEnt,20399.5,1,20350,25.05,0.12,128.29,0.63,-72.21,-0.35,433.88,0.04
47,ロングエントリー,2023-03-12 16:00,LongEnt,20350,1,20350,25.05,0.12,128.29,0.63,-72.21,-0.35,433.88,0.04
48,ショート決済,2023-03-14 02:00,Close entry(s) order ShortEnt,24137,1,22190.5,-1974.3,-8.89,363.69,1.64,-2344.81,-10.56,-1540.41,-0.15
48,ショートエントリー,2023-03-13 17:00,ShortEnt,22190.5,1,22190.5,-1974.3,-8.89,363.69,1.64,-2344.81,-10.56,-1540.41,-0.15
49,ショート決済,2023-03-14 15:00,Close entry(s) order ShortEnt,24334,1,24116.5,-246.57,-1.02,112.03,0.46,-742.97,-3.08,-1786.98,-0.18
49,ショートエントリー,2023-03-14 08:00,ShortEnt,24116.5,1,24116.5,-246.57,-1.02,112.03,0.46,-742.97,-3.08,-1786.98,-0.18
50,ショート決済,2023-03-16 04:00,Close entry(s) order ShortEnt,24378.5,1,25797,1388.39,5.38,1881.52,7.29,-349.98,-1.36,-398.59,-0.04
50,ショートエントリー,2023-03-14 22:00,ShortEnt,25797,1,25797,1388.39,5.38,1881.52,7.29,-349.98,-1.36,-398.59,-0.04
51,ショート決済,2023-03-19 14:00,Close entry(s) order ShortEnt,27059.5,1,26766.5,-325.3,-1.21,176.44,0.66,-1015.56,-3.79,-723.88,-0.07
51,ショートエントリー,2023-03-18 05:00,ShortEnt,26766.5,1,26766.5,-325.3,-1.21,176.44,0.66,-1015.56,-3.79,-723.88,-0.07
52,ロング決済,2023-03-20 16:00,Close entry(s) order LongEnt,28178.5,1,27434.5,710.63,2.59,812.54,2.96,-110.46,-0.40,-13.25,0.00
52,ロングエントリー,2023-03-20 13:00,LongEnt,27434.5,1,27434.5,710.63,2.59,812.54,2.96,-110.46,-0.40,-13.25,0.00
53,ショート決済,2023-03-21 09:00,Close entry(s) order ShortEnt,27840.5,1,28198.5,324.38,1.15,726.58,2.58,-82.42,-0.29,311.13,0.03
