トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
1,ロング決済,2023-01-03 13:00,Short,16684.5,1,16580.5,104,0.63,209.5,1.26,-37.5,-0.23,104,0.01
1,ロングエントリー,2023-01-02 10:00,Long,16580.5,1,16580.5,104,0.63,209.5,1.26,-37.5,-0.23,104,0.01
2,ショート決済,2023-01-04 13:00,Long,16852,1,16684.5,-167.5,-1.00,85,0.51,-179,-1.07,-63.5,-0.01
2,ショートエントリー,2023-01-03 13:00,Short,16684.5,1,16684.5,-167.5,-1.00,85,0.51,-179,-1.07,-63.5,-0.01
3,ロング決済,2023-01-05 08:00,Short,16827.5,1,16852,-24.5,-0.15,138,0.82,-83,-0.49,-88,-0.01
3,ロングエントリー,2023-01-04 13:00,Long,16852,1,16852,-24.5,-0.15,138,0.82,-83,-0.49,-88,-0.01
4,ショート決済,2023-01-06 08:00,Long,16825.5,1,16827.5,2,0.01,81,0.48,-48.5,-0.29,-86,-0.01
4,ショートエントリー,2023-01-05 08:00,Short,16827.5,1,16827.5,2,0.01,81,0.48,-48.5,-0.29,-86,-0.01
5,ロング決済,2023-01-06 21:00,Short,16735.5,1,16825.5,-90,-0.53,31.5,0.19,-124.5,-0.74,-176,-0.02
5,ロングエントリー,2023-01-06 08:00,Long,16825.5,1,16825.5,-90,-0.53,31.5,0.19,-124.5,-0.74,-176,-0.02
6,ショート決済,2023-01-07 05:00,Long,16927,1,16735.5,-191.5,-1.14,60.5,0.36,-216.5,-1.29,-367.5,-0.04
6,ショートエントリー,2023-01-06 21:00,Short,16735.5,1,16735.5,-191.5,-1.14,60.5,0.36,-216.5,-1.29,-367.5,-0.04
7,ロング決済,2023-01-08 01:00,Short,16938,1,16927,11,0.06,107.5,0.64,-41,-0.24,-356.5,-0.04
